,name,year,selling_price,km_driven,fuel,transmission
0,Hyundai,2017," 5,25,000","2,200 km",Petrol,Manual
1,Hyundai,2013," 5,95,000","91,500 km",Diesel,Manual
2,Ford,2017," 7,75,000","36,000 km",Diesel,Manual
3,Honda,2015," 4,00,000","90,000 km",Diesel,Manual
4,Maruti Suzuki,2010," 2,30,000","40,000 km",Petrol,Manual
5,Maruti Suzuki,2020," 4,55,000","19,000 km",Petrol,Manual
6,BMW,2018," 54,00,000","49,000 km",Diesel,Automatic
7,Audi,2016," 24,00,000","36,000 km",Diesel,Automatic
8,Mahindra,2011," 3,65,000","95,000 km",Diesel,Manual
9,Ford,2016," 6,20,000","68,000 km",Diesel,-
10,Maruti Suzuki,2009," 1,65,000","68,000 km",Petrol,Manual
11,Skoda,2019," 26,39,000","7,000 km",Petrol,Automatic
12,Chevrolet,2013," 2,45,000","56,000 km",Diesel,Manual
13,Jaguar,2016," 47,00,000","33,000 km",Petrol,Automatic
14,Hyundai,2010," 1,70,000","74,000 km",Petrol,Manual
15,Land Rover,2011," 10,75,000","105,000 km",Diesel,Manual
16,Hyundai,2014," 5,50,000","72,000 km",Diesel,Manual
17,Hyundai,2008," 2,10,000","65,000 km",Petrol,Manual
18,Hyundai,2014," 4,30,000","24,000 km",Petrol,Automatic
19,Maruti Suzuki,2013," 3,95,000","75,000 km",Diesel,Manual
20,Toyota,2011," 5,25,000","151,000 km",Diesel,Manual
21,Maruti Suzuki,2008," 3,25,000","90,000 km",Diesel,Manual
22,Maruti Suzuki,2014," 4,35,000","121,187 km",Diesel,Manual
23,Hyundai,2010," 2,60,000","53,000 km",Petrol,Manual
24,Maruti Suzuki,2018," 5,85,000","20,000 km",Petrol,Manual
25,Ford,2012," 2,75,000","118,000 km",Diesel,Manual
26,Nissan,2018," 4,95,000","14,000 km",Petrol,Manual
27,Maruti Suzuki,2008," 2,35,000","145,000 km",Diesel,Manual
28,Ford,2009," 1,50,000","54,000 km",Diesel,-
29,Hyundai,2009," 2,75,000","82,967 km",Petrol,Manual
30,Fiat,2015," 5,20,000","38,000 km",Petrol,Manual
31,Mahindra,2020," 8,75,000","4,286 km",Petrol,Manual
32,Honda,2015," 5,59,998","35,048 km",Petrol,Manual
33,Ford,2012.0," 1,85,000","47,000 km",Diesel,Manual
34,Hyundai,2016," 2,70,000","48,000 km",Petrol,Manual
35,Honda,2011," 4,75,000","47,000 km",Petrol,Automatic
36,Tata,2012," 1,47,000","122,000 km",Diesel,Manual
37,Hyundai,2010," 1,65,000","75,000 km",Petrol,Manual
38,Mahindra,2014," 6,30,000","80,000 km",Diesel,Manual
39,Renault,2011," 3,25,000","80,000 km",Diesel,Manual
40,Hyundai,2017," 5,25,000","2,200 km",Petrol,Manual
41,Hyundai,2013," 7,00,000","91,500 km",Diesel,Manual
42,Ford,2017," 7,75,000","36,000 km",Diesel,Manual
43,Honda,2015," 4,00,000","90,000 km",Diesel,Manual
44,Maruti Suzuki,2010," 2,30,000","40,000 km",Petrol,Manual
45,Maruti Suzuki,2020," 4,55,000","19,000 km",Petrol,Manual
46,BMW,2018," 47,00,000","49,000 km",Diesel,Automatic
47,Audi,2016," 24,00,000","36,000 km",Diesel,Automatic
48,Mahindra,2011," 3,65,000","95,000 km",Diesel,Manual
49,Ford,2016," 6,20,000","68,000 km",Diesel,-
50,Maruti Suzuki,2009," 1,65,000","68,000 km",Petrol,Manual
51,Skoda,2019," 26,39,000","7,000 km",Petrol,Automatic
52,Chevrolet,2013," 2,45,000","56,000 km",Diesel,Manual
53,Jaguar,2016," 47,00,000","33,000 km",Petrol,Automatic
54,Hyundai,2010," 1,70,000","74,000 km",Petrol,Manual
55,Land Rover,2011," 10,75,000","105,000 km",Diesel,Manual
56,Hyundai,2014," 5,50,000","72,000 km",Diesel,Manual
57,Hyundai,2008," 2,10,000","65,000 km",Petrol,Manual
58,Hyundai,2014," 4,30,000","24,000 km",Petrol,Automatic
59,Maruti Suzuki,2013," 3,95,000","75,000 km",Diesel,Manual
60,Toyota,2011," 5,25,000","151,000 km",Diesel,Manual
61,Maruti Suzuki,2008," 3,25,000","90,000 km",Diesel,Manual
62,Maruti Suzuki,2014," 4,35,000","121,187 km",Diesel,Manual
63,Hyundai,2010," 2,60,000","53,000 km",Petrol,Manual
64,Maruti Suzuki,2018," 5,85,000","20,000 km",Petrol,Manual
65,Ford,2012," 2,75,000","118,000 km",Diesel,Manual
66,Nissan,2018," 4,95,000","14,000 km",Petrol,Manual
67,Maruti Suzuki,2008," 2,35,000","145,000 km",Diesel,Manual
68,Ford,2009," 1,50,000","54,000 km",Diesel,-
69,Hyundai,2009," 2,75,000","82,967 km",Petrol,Manual
70,Fiat,2015," 5,20,000","38,000 km",Petrol,Manual
71,Mahindra,2020," 8,75,000","4,286 km",Petrol,Manual
72,Honda,2015," 5,59,998","35,048 km",Petrol,Manual
73,Ford,2012.0," 1,85,000","47,000 km",Diesel,Manual
74,Hyundai,2016," 2,70,000","48,000 km",Petrol,Manual
75,Honda,2011," 4,75,000","47,000 km",Petrol,Automatic
76,Tata,2012," 1,47,000","122,000 km",Diesel,Manual
77,Hyundai,2010," 1,65,000","75,000 km",Petrol,Manual
78,Mahindra,2014," 6,30,000","80,000 km",Diesel,Manual
79,Renault,2011," 3,25,000","80,000 km",Diesel,Manual
80,Mahindra,2016," 10,50,000","70,000 km",Diesel,Manual
81,Honda,2014," 4,20,000","45,875 km",Petrol,Manual
82,Hyundai,2016," 4,95,000","34,419 km",Petrol,Manual
83,Honda,2019," 8,75,000","27,730 km",Petrol,Manual
84,Datsun,2014," 2,95,000","27,000 km",Petrol,Manual
85,Force Motors,2015," 7,50,000","80,884 km",Diesel,Manual
86,-,-,-,-,-,-
87,Toyota,2012," 11,30,000","150,000 km",Diesel,Manual
88,Tata,2012," 39,000","85,000 km",Diesel,Manual
89,Maruti Suzuki,2011," 2,80,000","69,000 km",CNG & Hybrids,Manual
90,Tata,2018," 9,99,000","48,252 km",Diesel,-
91,Nissan,2016," 6,00,000","56,000 km",Diesel,Manual
92,Skoda,2016," 7,24,999","89,000 km",Diesel,Automatic
93,Chevrolet,2014," 3,75,000","71,000 km",Diesel,Manual
94,Honda,2010," 3,25,000","46,000 km",Petrol,Manual
95,Honda,2014," 5,80,000","132,000 km",Diesel,Manual
96,Ford,2011," 5,00,000","48,143 km",Diesel,Manual
97,Hyundai,2014," 4,10,000","29,000 km",Petrol,Manual
98,Maruti Suzuki,2018," 8,20,000","24,500 km",Petrol,Automatic
99,Hyundai,2012," 3,25,000","57,000 km",Petrol,Manual
100,Maruti Suzuki,2012," 5,25,000","53,000 km",Petrol,Manual
101,Volkswagen,2015," 6,10,000","92,943 km",Diesel,Automatic
102,Maruti Suzuki,2011," 1,89,000","77,256 km",Diesel,Manual
103,Hyundai,2014," 4,70,000","73,000 km",Diesel,Manual
104,Hyundai,2013," 5,30,000","88,000 km",Diesel,Manual
105,Mahindra,2016," 6,25,000","76,900 km",Diesel,Manual
106,Maruti Suzuki,2013," 3,65,000","72,000 km",Petrol,Manual
107,Volkswagen,2012," 6,50,000","142,900 km",Diesel,Manual
108,Toyota,2013," 5,95,000","44,000 km",Petrol,Manual
109,Maruti Suzuki,2017," 6,35,000","32,848 km",Petrol,Manual
110,Maruti Suzuki,2018," 5,55,555",35 km,Diesel,-
111,Mercedes-Benz,2013," 14,00,000","70,000 km",Diesel,Automatic
112,Hyundai,2016," 9,95,000","29,939 km",Petrol,Automatic
113,Mercedes-Benz,2009," 5,99,000","32,461 km",Diesel,Automatic
114,Hyundai,2002," 75,000","65,000 km",LPG,-
115,Tata,2012," 25,000","58,555 km",Diesel,Manual
116,Maruti Suzuki,2002," 55,000","80,000 km",Petrol,Manual
117,Chevrolet,2009," 45,000","40,000 km",Petrol,Automatic
118,Audi,2016," 25,75,000","61,000 km",Diesel,Automatic
119,Audi,2015," 27,90,000","61,000 km",Diesel,Automatic
120,Kia,2021," 17,40,000",612 km,Petrol,Automatic
121,Fiat,2017," 3,30,000","62,000 km",Diesel,Manual
122,Hyundai,2016," 4,25,000","18,318 km",Petrol,Manual
123,Honda,2006," 1,90,000","90,000 km",Petrol,Manual
124,Honda,2012," 8,50,000","47,000 km",Petrol,Automatic
125,Hyundai,2013," 4,25,000","46,000 km",Diesel,Manual
126,Land Rover,2017," 36,00,000","32,000 km",Diesel,Automatic
127,Maruti Suzuki,2018," 8,30,000","65,000 km",Diesel,Manual
128,Renault,2014," 3,75,000","68,000 km",Diesel,Manual
129,Chevrolet,2009," 70,000","116,000 km",Petrol,Manual
130,Maruti Suzuki,2009," 1,60,000","54,000 km",Petrol,Manual
131,Toyota,2015," 8,49,000","97,000 km",Diesel,Manual
132,Hyundai,2017," 4,50,000","34,125 km",Petrol,Manual
133,Audi,2015," 17,75,000","68,000 km",Diesel,Automatic
134,Maruti Suzuki,2017," 6,50,000","60,000 km",Diesel,Manual
135,Maruti Suzuki,2018," 8,40,000","39,000 km",Diesel,Manual
136,Mahindra,2010," 2,99,000","85,809 km",Diesel,Manual
137,Hyundai,2009," 1,75,000","48,000 km",Petrol,Manual
138,Maruti Suzuki,2018," 8,50,000","58,000 km",Diesel,Manual
139,Tata,2018," 8,25,000","44,000 km",Diesel,Manual
140,Maruti Suzuki,2010," 3,25,000","65,000 km",Diesel,Manual
141,Hyundai,2015," 4,95,000","52,000 km",Petrol,Manual
142,Honda,2012," 4,75,000","65,226 km",Petrol,Manual
143,Maruti Suzuki,2014," 4,35,000","42,000 km",Petrol,Automatic
144,Toyota,2013," 14,25,000","164,000 km",Diesel,Manual
145,Maruti Suzuki,2020," 4,90,000","27,000 km",CNG & Hybrids,Manual
146,Toyota,2014," 12,95,000","120,000 km",Diesel,Manual
147,Hyundai,2009," 2,90,000","58,000 km",Petrol,Manual
148,Maruti Suzuki,2015," 2,75,000","34,000 km",Petrol,Manual
149,Maruti Suzuki,2016," 4,40,000","16,200 km",Petrol,-
150,Renault,2012," 4,15,000","89,500 km",Diesel,Manual
151,Toyota,2015," 5,00,000","20,000 km",Petrol,Manual
152,Toyota,2008," 3,35,000","65,000 km",Diesel,-
153,Hyundai,2012," 2,75,111","45,000 km",Petrol,Manual
154,Mahindra,2017," 8,65,000","47,000 km",Diesel,Manual
155,Audi,2020," 31,75,000","18,500 km",Petrol,Automatic
156,Toyota,2011," 5,25,000","70,000 km",Diesel,Manual
157,Hyundai,2013," 3,99,000","56,000 km",Diesel,Manual
158,Audi,2014," 14,00,000","35,000 km",Diesel,Manual
159,Land Rover,2010," 27,50,000","102,000 km",Diesel,Automatic
160,Hyundai,2017," 5,25,000","2,200 km",Petrol,Manual
161,Hyundai,2013," 5,95,000","91,500 km",Diesel,Manual
162,Ford,2017," 7,75,000","36,000 km",Diesel,Manual
